experiment,method,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,star_queries,fast_only_star_queries,exact_star_queries
antithetic_compare,antithetic,55210,11,0.773458838,-0.298699141,-0.886795282,-0.496643513,-0.412035584,0.084607929,0.0595841333,0.113608614,32,24.875,796,726,70
antithetic_compare,antithetic,55210,13,-0.775137305,0.445788622,-0.999838948,-1.32915115,-1.32918763,3.64780426e-05,0.00012031923,4.63254963e-07,32,5.375,172,75,97
antithetic_compare,antithetic,55210,14,0.436500549,0.287146211,0.606134057,1.27364254,1.32978082,0.0561382771,0.12592344,0.507414818,32,33.40625,1069,1016,53
antithetic_compare,antithetic,55210,15,0.89608252,0.31250608,-0.232471466,0.921249628,0.976117134,0.054867506,0.0681056008,0.148427948,32,21.53125,689,629,60
antithetic_compare,antithetic,55210,16,-0.15636003,-0.878521919,-0.903558254,-1.92890346,-1.9384402,0.00953674316,0.0547466129,0.0959101319,32,23.625,756,677,79
antithetic_compare,antithetic,55210,17,-0.370229006,0.130743623,0.658872724,0.408965945,0.419387341,0.0104213953,0.0744800046,0.177512676,32,26.21875,839,773,66
antithetic_compare,antithetic,55210,18,-0.705981255,-0.012542367,-0.751242757,-1.4138751,-1.46976638,0.0558912754,0.112909198,0.407951564,32,25.03125,801,739,62
antithetic_compare,antithetic,55210,19,-0.861452579,0.822770119,0.895411372,0.83938849,0.856728911,0.0173404217,0.036023248,0.04152558,32,21.875,700,653,47
antithetic_compare,antithetic,55210,20,-0.214740992,0.797539234,0.121753454,0.845129073,0.704551697,0.140577376,0.0758903399,0.184299007,32,29,928,855,73
antithetic_compare,antithetic,55210,21,0.424316406,-0.0128270388,-0.0284894705,0.375920951,0.382999897,0.00707894564,0.0848891735,0.230597511,32,27.09375,867,806,61
antithetic_compare,antithetic,55210,22,-0.126691699,0.505880356,-0.901221633,-0.521080315,-0.522032976,0.000952661037,0.0478530899,0.073277384,32,23.875,764,712,52
antithetic_compare,antithetic,55210,23,-0.825829506,-0.28624177,-0.958410501,-2.10162234,-2.07048178,0.0311405659,0.0276055336,0.0243860949,32,22.71875,727,664,63
antithetic_compare,antithetic,55210,24,0.606611609,-0.803770542,0.586793303,0.450944096,0.389634371,0.061309725,0.0863416046,0.238555938,32,23.3125,746,681,65
