point_id,x,y,z,exact,value,abs_error,std_error,sample_variance,predicted_samples,samples_used,mean_steps,is_valid
57,-0.0381864607,-0.0300779939,0.0751876533,0.0069231987,0,0,0,0,0,0,0,0
58,-0.0143138319,-0.185396045,0.101622105,-0.0980877727,-0.096562162,0.00152561069,0.00562429568,0.0160061475,506,506,22.118578,1
59,-0.10123539,-0.211869761,-0.18357569,-0.496680856,-0.500222504,0.00354164839,0.00335778343,0.00110492157,98,98,16,1
60,-0.0464957058,-0.175231725,0.212650716,-0.00907671452,-0.00702578947,0.00205092505,0.00355519401,0.00242676563,192,192,18.510416,1
61,0.150647908,0.0574430227,-0.0240211487,0.184069782,0.172925755,0.0111440271,0.00545644574,0.0304873474,1024,1024,24.3164062,1
62,-0.082392633,-0.0709600896,-0.16695641,-0.320309132,-0.328457862,0.0081487298,0.00660602655,0.0229107831,525,525,22.7523804,1
63,-0.115729839,0.109054476,0.0469852984,0.0403099358,0.0354747437,0.00483519211,0.00554946391,0.0170304924,553,553,24.4918633,1
64,0.125986606,0.132964224,-0.0974656567,0.161485165,0.162061274,0.000576108694,0.0054889,0.0239216518,794,794,23.1523933,1
65,-0.0843077153,0.127039313,-0.0227815658,0.0199500322,0,0,0,0,0,0,0,0
66,0.147731453,0.0798511803,-0.142489448,0.0850931853,0.0877164528,0.00262326747,0.0050100279,0.0225903392,900,900,22.5111103,1
67,0.204532593,0.164094776,0.0639460385,0.432573408,0.439594358,0.00702095032,0.00446612667,0.00313156727,157,157,18.7261143,1
68,-0.0376977324,-0.0375824124,-0.02673693,-0.102017075,-0.0879373997,0.0140796751,0.00656907773,0.044188451,1024,1024,26.2910156,1
69,0.180232078,-0.0394698232,0.205760896,0.346523166,0.328178048,0.0183451176,0.00815477688,0.00917705428,138,138,19.355072,1
70,-0.0114539564,-0.168085843,0.142329633,-0.0372101665,-0.0379070528,0.000696886331,0.00542819174,0.0183863249,624,624,22.0048084,1
71,-0.202452973,0.129363507,-0.083732754,-0.156822219,-0.145944312,0.0108779073,0.00614421861,0.00860732328,228,228,19.9035091,1
72,-0.155143708,-0.152156562,-0.13748166,-0.444781929,-0.448966682,0.0041847527,0.00419857539,0.0143844783,816,816,21.6409321,1
73,0.020499751,-0.114587091,-0.179124013,-0.27321136,-0.277300745,0.00408938527,0.00939153042,0.0194923859,221,221,24.4705887,1
74,0.126970857,0.202295691,-0.118164219,0.211102337,0.201466605,0.00963573158,0.00647370704,0.00670542102,160,160,21.4125004,1
75,-0.0939234346,-0.187165797,-0.157617629,-0.438706875,-0.436243474,0.00246340036,0.00464185933,0.0103209456,479,479,20.446764,1
76,0.0398407876,0.161200553,-0.0109061301,0.190135211,0.186325192,0.0038100183,0.00504608778,0.0153032634,601,601,23.5008316,1
77,0.17928952,0.0427117348,-0.0742171109,0.147784144,0.147929832,0.000145688653,0.00644335384,0.018350428,442,442,21.9389133,1
78,-0.124408379,0.101362884,0.212044299,0.188998803,0.196974248,0.0079754442,0.00682915375,0.00461709639,99,99,17.7171726,1
79,-0.0739538819,-0.0138743371,0.129502445,0.0416742265,0.0415276922,0.000146534294,0.00542478543,0.0301345773,1024,1024,24.4326172,1
80,0.0235717893,-0.10589423,-0.0649261326,-0.147248566,-0.145170644,0.00207792222,0.00634321477,0.0412020497,1024,1024,24.3339844,1
