experiment,method,mesh,seed,num_query_points,valid_points,walks_per_point,epsilon,min_samples,max_samples,batch_size,target_rse,elapsed_seconds,rmse,mae,mean_relative_error,mean_std_error,mean_sample_variance,mean_samples_used,median_samples_used,min_samples_used,max_samples_used,mean_steps,diverged_count,star_queries,fast_only_star_queries,exact_star_queries,refinement_ratio
lazy_refinement,lazy_threshold_x16,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,61062,500,491,512,9.99999975e-05,64,512,32,0.0500000007,111.8550959,0.00580603502526,0.00423964250206,0.155234023564,0.00536394011789,0.0175913428946,512,512,512,512,21.333503055,0,5363072,2868126,2494946,0.465208373112
epsilon_extrapolation,epsilon,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,15342985,500,491,512,0.00999999978,64,512,32,0.0500000007,24.1639462,0.00656528705998,0.00518249108384,0.0888731286092,0.00463532861882,0.0143454905792,512,512,512,512,6.29011265275,0,1581284,1057991,523293,0.330929168954
epsilon_extrapolation,epsilon_half,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,15342985,500,491,512,0.00499999989,64,512,32,0.0500000007,24.1286234,0.00560453909564,0.00428800491713,0.085883295279,0.00495182637866,0.0153862491381,512,512,512,512,8.56312850051,0,2152702,1635455,517247,0.24027803198
epsilon_extrapolation,epsilon,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,15343994,500,492,512,0.00999999978,64,512,32,0.0500000007,24.4758496,0.00646640151428,0.00517732893863,0.0974373445231,0.00473382948097,0.0149021440336,512,512,512,512,6.3245363313,0,1593176,1067415,525761,0.330008109587
epsilon_extrapolation,epsilon_half,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,15343994,500,492,512,0.00499999989,64,512,32,0.0500000007,25.9770886,0.00594079407393,0.0045916848924,0.0822221142296,0.00498229978358,0.0157710579807,512,512,512,512,8.47653471164,0,2135273,1627117,508156,0.237981747533
epsilon_extrapolation,epsilon,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,15345003,500,490,512,0.00999999978,64,512,32,0.0500000007,24.3200823,0.00642029817458,0.00526856597494,0.122782234017,0.00452820769954,0.0143267514529,512,512,512,512,6.11234454719,0,1533465,1023077,510388,0.332833158892
epsilon_extrapolation,epsilon_half,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,15345003,500,490,512,0.00499999989,64,512,32,0.0500000007,25.1135022,0.00560234607119,0.00445319327611,0.100975103598,0.00483899789127,0.0153152314003,512,512,512,512,8.30886479592,0,2084528,1575510,509018,0.244188612482
neumann_sanity,sphere_cube,experiments/generated/inner_sphere.obj,421264,500,0,512,9.99999975e-05,64,512,32,0.0500000007,0.0001104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neumann_sanity,sphere_cube,experiments/generated/inner_sphere.obj,422273,500,2,512,9.99999975e-05,64,512,32,0.0500000007,0.0102181,0.0132331365537,0.0112054049969,0.0251843673649,0.000522351241671,0.00014058079978,512,512,512,512,16.8994140625,0,17305,14417,2888,0.166888182606
neumann_sanity,sphere_cube,experiments/generated/inner_sphere.obj,423282,500,1,512,9.99999975e-05,64,512,32,0.0500000007,0.0157606,0.009651273489,0.009651273489,0.0495763378055,0.000775564694777,0.000307968293782,512,512,512,512,27.833984375,0,14251,12257,1994,0.139920005614
