mesh,mesh_variant,distance_bin,epsilon,walks,n,rmse,mean_abs_error,mean_sample_variance,mean_steps,mean_bias,mean_bias_steps
bunny,original,1,1e-05,1024,21,0.03923253338893888,0.03188323300347619,0.04416444409523809,191.74428009523808,0.00859343336195238,193.29510795238096
bunny,original,2,1e-05,1024,22,0.016235816729792976,0.012925754706090909,0.03812884740636364,104.86079539090908,0.007686091668954547,107.57958982272727
bunny,original,3,1e-05,1024,23,0.007854007591999416,0.005087292539656522,0.031122053214347828,57.47601053043478,0.005455621075521738,59.06980298695652
bunny,original,4,1e-05,1024,24,0.004595297709912255,0.0036192315924999997,0.02134426421166667,38.89782714166666,0.0038873757786249998,38.4967041
spot,original,1,0.01,64,22,0.5713551558531387,0.4417554910318181,1.0653432133181822,13.134943181818182,0.2045781204845455,12.899147727272727
spot,original,2,0.01,64,24,0.17722749144630295,0.128258818766625,0.30376571546250003,10.30078125,0.08299571582291666,10.5078125
spot,original,3,0.01,64,24,0.04947117630690284,0.03211117102295833,0.10162605438458334,8.322265625,0.032829388976666665,8.446614583333334
spot,original,1,0.01,256,22,0.5458685050517839,0.437949678090909,1.0235930132727271,13.217507104545454,0.1646856357740909,13.290660515909092
spot,original,2,0.01,256,24,0.15144174764982704,0.11634240613583334,0.2975245289708333,10.30452474375,0.049119089406250004,10.418782552083334
spot,original,3,0.01,256,24,0.05623095233768142,0.03434547132789167,0.10647281432958333,8.44222005625,0.021936087555166666,8.413248702083333
spot,original,1,0.01,1024,22,0.556345075852402,0.42872296730000004,1.0103439955000004,13.24551669363636,0.16639632256454542,13.174183228636364
spot,original,2,0.01,1024,24,0.15928614598157367,0.11274637217958333,0.31747509609999996,10.496378589166666,0.04342713204166667,10.443969724583333
spot,original,3,0.01,1024,24,0.04349383353879089,0.02727312377004167,0.120302322525,8.513305660833334,0.012382355982333332,8.407999675833333
spot,original,1,0.001,64,22,0.19888053576187392,0.1493702945459091,0.6553119881318181,44.3984375,0.08578098010909091,44.99147727272727
spot,original,2,0.001,64,24,0.08649953416242928,0.06646495124791667,0.2546406340583333,24.056640625,0.051685781203749996,23.379557291666668
spot,original,3,0.001,64,24,0.04104224620973088,0.030091109208375003,0.09119889932708332,16.864583333333332,0.039434224826900004,16.805338541666668
spot,original,1,0.001,256,22,0.20289440062241718,0.15820615605590907,0.6155251122363636,44.49325284545455,0.06224125859318182,45.03586648636364
spot,original,2,0.001,256,24,0.07060278116058667,0.0541208882825,0.24566301735974996,24.25748697708333,0.034463652111666666,23.537923172916663
spot,original,3,0.001,256,24,0.024275106565994926,0.017488909579041666,0.11005536747,17.1728515625,0.020160580988708335,16.9916992125
spot,original,1,0.001,1024,22,0.18205231033108132,0.13944158496363637,0.66275318375,44.63294565909091,0.03019411955754545,44.580522013636354
spot,original,2,0.001,1024,24,0.05867417454588206,0.042457889788041665,0.2506469860335417,23.767659503749996,0.014125492113708333,24.01713052958333
spot,original,3,0.001,1024,24,0.01785614638990884,0.010976383464166668,0.11676321902625002,17.404215500000003,0.009681708338791667,17.017944337499998
spot,original,1,0.0001,64,22,0.17760407341848825,0.13944802041627272,0.6619873326181819,131.94105113636363,0.1359851214859091,126.84801136363636
spot,original,2,0.0001,64,24,0.07954071935311009,0.063154432326,0.24394794321416668,47.235677083333336,0.058682665521666656,45.936197916666664
spot,original,3,0.0001,64,24,0.04232776370325555,0.033488612300416665,0.10369202767627167,25.533203125,0.05157649346737083,32.721354166666664
spot,original,1,0.0001,256,22,0.16600618148741828,0.12086766598272726,0.6901876740727272,126.84055397272728,0.05199794624454546,127.08451716818182
spot,original,2,0.0001,256,24,0.07475132240516183,0.05609073613495833,0.22881385625750003,46.830729158333334,0.0348286051275,48.36881509166667
spot,original,3,0.0001,256,24,0.02229916729848025,0.016387966605275,0.10831099237024999,28.32177733541667,0.023655995101666664,27.779459629166666
spot,original,1,0.0001,1024,22,0.14631222996482535,0.11063271703772727,0.659279210581818,124.23597307727272,0.0374038395509091,126.19074040454542
spot,original,2,0.0001,1024,24,0.05063173089747182,0.03704591406125,0.26491809403583333,48.571451812499994,0.01223785181625,47.652750654166674
spot,original,3,0.0001,1024,24,0.014633634385761984,0.010330582195208333,0.11730605396625,29.308390291666665,0.011027989597124999,28.352376314166666
spot,original,1,1e-05,64,22,0.22669765813709264,0.17048687899181816,0.6120976892090909,160.5731534090909,0.10969623080454544,162.05326704545453
spot,original,2,1e-05,64,24,0.07861415531910886,0.056277850025,0.2865687859791667,65.05013020833333,0.06602623374,58.7421875
spot,original,3,1e-05,64,24,0.029214949839616738,0.023911659611833336,0.10564133629928252,35.888671875,0.03336418512683333,38.969401041666664
spot,original,1,1e-05,256,22,0.17583579326268195,0.13441709603727273,0.6234121365772728,167.90642742272726,0.059731358990454536,157.46928272272726
