mesh,mesh_variant,point_id,distance_bin,bin_min,bin_max,x,y,z,nearest_distance_proxy_norm,local_edge_mean_norm,local_area_norm,local_aspect_ratio,local_quality,local_normal_variation,point_index,boundary,seed,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,diverged,epsilon,walks_per_point,star_queries,fast_only_star_queries,exact_star_queries,is_valid,dataset,walks
bunny,original,15,2,0.15,0.3,0.0283567104,-0.0187174622,-0.0427036844,0.24167936032208415,0.007172452635685227,1.8094040114963265e-05,1.9839685884027984,0.7545180907003967,0.03677204340080439,39,neumann,12601,-0.0285720918,-0.0330644362,0.00449234433,0.0155291436,0.0617354997,256,62.1523438,0,0.0001,256,15911,14568,1343,1,part1_neumann,256
bunny,original,16,2,0.15,0.3,-0.0140882032,0.0375561714,0.100748047,0.18980414664715492,0.003475458706804864,3.8600650119382736e-06,1.7762368684848229,0.693779299371599,0.03540190222332781,40,neumann,12601,0.131278396,0.12421602,0.00706237555,0.0144391609,0.0533732772,256,97.234375,0,0.0001,256,24892,22572,2320,1,part1_neumann,256
bunny,original,17,2,0.15,0.3,-0.00525987009,0.218332782,0.0348649211,0.24215251010773928,0.0045306230499901935,7.49264235262149e-06,1.8579889640281748,0.7953053715047947,0.20829706526269043,41,neumann,12601,0.252547562,0.247937828,0.00460973382,0.00143598765,0.000527887489,256,14.3359375,0,0.0001,256,3670,3130,540,1,part1_neumann,256
bunny,original,18,2,0.15,0.3,-0.0953152403,0.106770851,-0.078811042,0.24461728377805783,0.005346858153464157,1.1216129189774063e-05,1.41934559804347,0.8829933067867877,0.08027753581796974,42,neumann,12601,-0.0945816189,-0.0673554316,0.0272261873,0.0125783514,0.0405030213,256,70.0429688,0,0.0001,256,17931,16305,1626,1,part1_neumann,256
bunny,original,19,2,0.15,0.3,-0.101107672,0.0862035453,0.0917894393,0.2217728279783928,0.005556320041098041,1.1567035286987902e-05,1.7135427366565956,0.8279229447913536,0.0068889511767934826,43,neumann,12601,,,,,,,,,0.0001,256,,,0,,part1_neumann,256
bunny,original,20,2,0.15,0.3,-0.0376733541,-0.0209970176,-0.0135668842,0.21958339179027042,0.006390642500707127,1.5091115203614518e-05,1.807170728542771,0.8064310027855446,0.0010134995833136855,44,neumann,12601,-0.119308434,-0.0722372532,0.0470711812,0.0160143189,0.0656533539,256,90.4726562,0,0.0001,256,23161,21031,2130,1,part1_neumann,256
bunny,original,21,2,0.15,0.3,-0.107621983,0.062222179,-0.0391345434,0.18400012738973304,0.005246241650502551,1.0190918245369697e-05,1.8032714379068984,0.8088793971358537,0.005639988061212686,45,neumann,12601,-0.120442316,-0.0845343471,0.0359079689,0.012457083,0.0397258028,256,87.1640625,0,0.0001,256,22314,20239,2075,1,part1_neumann,256
bunny,original,22,2,0.15,0.3,-0.124964274,0.105792344,-0.0179618821,0.173269151304131,0.005712235448293385,1.3104532910608352e-05,1.4698982896697605,0.9058358410132054,0.005981346866307728,46,neumann,12601,-0.0580481067,-0.0371338129,0.0209142938,0.0115987044,0.0344396681,256,82.625,0,0.0001,256,21152,19262,1890,1,part1_neumann,256
bunny,original,23,2,0.15,0.3,0.0268910825,0.194390982,0.0538781397,0.29268892272152586,0.005427055629061035,1.1098050954775978e-05,1.6690675201505,0.8355548669117162,0.005182715265389899,47,neumann,12601,0.290872812,0.275160193,0.0157126188,0.00672517437,0.0115783615,256,40.7460938,0,0.0001,256,10431,9421,1010,1,part1_neumann,256
bunny,original,0,3,0.3,0.6,0.0775520578,-0.0479117967,-0.0735618696,0.47118815931129737,0.005382959141377156,9.051852071605959e-06,1.9492105706915315,0.6721488395249682,0.06375385264246218,48,neumann,12601,-0.061392311,-0.0439216085,0.0174707025,0.0146804033,0.0551716425,256,46.0039062,0,0.0001,256,11777,10768,1009,1,part1_neumann,256
bunny,original,1,3,0.3,0.6,0.170051157,0.0868795365,-0.0763519406,0.5561819240696056,0.005521081039446318,1.274548175698275e-05,1.301921813432172,0.9547247539850581,0.005689193037914486,49,neumann,12601,0.171121076,0.180578768,0.0094576925,0.0103869112,0.0276193097,256,29.5898438,0,0.0001,256,7575,6906,669,1,part1_neumann,256
bunny,original,2,3,0.3,0.6,-0.149645939,-0.070355922,-0.0153150121,0.5265925494257673,0.005587512402855299,1.2143663407330112e-05,1.6014597769606693,0.8678720049787486,0.02985094481904423,50,neumann,12601,-0.234448284,-0.235316873,0.000868588686,0.0111993421,0.0321088694,256,36.6875,0,0.0001,256,9392,8557,835,1,part1_neumann,256
bunny,original,3,3,0.3,0.6,-0.102774747,0.138941616,-0.134950474,0.35291961815361705,0.005980172430101478,1.2204771871885236e-05,1.8622454714875947,0.7425174618309889,0.03344055875163258,51,neumann,12601,-0.112983473,-0.0987836048,0.0141998678,0.0102742035,0.0270231701,256,41.7929688,0,0.0001,256,10699,9697,1002,1,part1_neumann,256
bunny,original,4,3,0.3,0.6,-0.0704755336,-0.106104508,-0.0636035502,0.589509241715278,0.004444611385919068,5.068119448706082e-06,2.0542212594565377,0.5426820586874214,0.33091499578067624,52,neumann,12601,-0.238570675,-0.240183592,0.00161291659,0.0132945655,0.0452468395,256,34.7734375,0,0.0001,256,8902,8117,785,1,part1_neumann,256
bunny,original,5,3,0.3,0.6,-0.0860691071,-0.0260098036,-0.153910965,0.5832726193439154,0.004444611385919068,5.068119448706082e-06,2.0542212594565377,0.5426820586874214,0.33091499578067624,53,neumann,12601,-0.265915275,-0.26598987,7.45952129e-05,0.0118203461,0.0357684717,256,36.0898438,0,0.0001,256,9239,8427,812,1,part1_neumann,256
bunny,original,6,3,0.3,0.6,-0.105345145,-0.0075848992,-0.12672922,0.4986980767309079,0.007106226408926501,1.6055036410723982e-05,2.3104659449151383,0.6676264782358146,0.24407677060219,54,neumann,12601,-0.251438707,-0.239659265,0.0117794424,0.0113184014,0.0327951908,256,38.359375,0,0.0001,256,9820,8939,881,1,part1_neumann,256
bunny,original,7,3,0.3,0.6,-0.14074254,0.159348771,-0.141548246,0.44639454325510053,0.005510955818028722,1.2039139563951593e-05,1.5441111617550063,0.888080675410783,0.03622060484787567,55,neumann,12601,-0.135568962,-0.122942016,0.012626946,0.007756304,0.0154010253,256,31.3359375,0,0.0001,256,8022,7286,736,1,part1_neumann,256
bunny,original,8,3,0.3,0.6,0.110233784,0.0488929786,-0.127971783,0.5383514126591858,0.005912785477003432,1.4314136549425635e-05,1.3632352624249902,0.9300219402194235,0.003274076969360921,56,neumann,12601,0.0157202631,0.0311549753,0.0154347122,0.0120761143,0.0373331308,256,44.0859375,0,0.0001,256,11286,10271,1015,1,part1_neumann,256
bunny,original,9,3,0.3,0.6,-0.184416473,0.165032387,-0.0313744731,0.42054286897951754,0.005497995500446877,1.1488895229545877e-05,1.6222183364876175,0.8457837309662167,0.011959615686948291,57,neumann,12601,-0.0631861538,-0.0507585593,0.0124275945,0.0061652381,0.00973060168,256,30.1640625,0,0.0001,256,7722,6963,759,1,part1_neumann,256
bunny,original,10,3,0.3,0.6,-0.098583281,0.205085814,-0.194390848,0.5620359299637313,0.006367300535259237,1.580412486273184e-05,1.6103125505017823,0.8675724494729002,0.07784376882373616,58,neumann,12601,-0.0893264413,-0.0878883153,0.00143812597,0.00346221821,0.00306866062,256,21.09375,0,0.0001,256,5400,4847,553,1,part1_neumann,256
bunny,original,11,3,0.3,0.6,-0.07415618,-0.0536110848,-0.0673864558,0.4057403155049417,0.007106226408926501,1.6055036410723982e-05,2.3104659449151383,0.6676264782358146,0.24407677060219,59,neumann,12601,-0.201935425,-0.195153713,0.00678171217,0.0141714411,0.051412411,256,53.5234375,0,0.0001,256,13702,12503,1199,1,part1_neumann,256
bunny,original,12,3,0.3,0.6,0.121445753,0.162039176,-0.0100503694,0.3984379960369076,0.004524204354756368,6.709195790589429e-06,1.7762870761281253,0.7134097901938978,0.0010001667476582006,60,neumann,12601,0.244668275,0.273434579,0.0287663043,0.0132886125,0.045206327,256,42.5507812,0,0.0001,256,10893,9880,1013,1,part1_neumann,256
bunny,original,13,3,0.3,0.6,-0.145706594,0.0149500212,-0.0326339751,0.33289070063870685,0.005739426989453782,1.3497869240749735e-05,1.3945155894711079,0.9296196146782888,0.1694496665477148,61,neumann,12601,-0.17220816,-0.163390547,0.00881761312,0.0126928296,0.0412436314,256,52,0,0.0001,256,13312,12123,1189,1,part1_neumann,256
bunny,original,14,3,0.3,0.6,-0.141932428,0.166164324,0.16737175,0.5397451242196939,0.004513341128645487,7.2318888329043e-06,1.9510447533064301,0.7677102020111176,0.0033964562204411575,62,neumann,12601,0.183683544,0.191603646,0.00792010128,0.00779009284,0.0155354999,256,27.6757812,0,0.0001,256,7085,6419,666,1,part1_neumann,256
bunny,original,15,3,0.3,0.6,0.165859744,-0.00243314472,-0.0700037852,0.5721701140129983,0.006214419770313514,1.5763654734005454e-05,1.4047715577593338,0.922829427389477,0.0032145048637764275,63,neumann,12601,0.10578908,0.0934228078,0.0123662725,0.0112053966,0.0321435966,256,30.3789062,0,0.0001,256,7777,7196,581,1,part1_neumann,256
bunny,original,16,3,0.3,0.6,-0.0569132529,0.0861814246,-0.167091504,0.5308738517021863,0.005445087319278706,9.112074468073813e-06,2.2226505292613288,0.6497563628407937,0.04752189939372653,64,neumann,12601,-0.148003533,-0.137823328,0.0101802051,0.00926786102,0.0219886713,256,40.6015625,0,0.0001,256,10394,9437,957,1,part1_neumann,256
