mesh,mesh_variant,point_id,distance_bin,bin_min,bin_max,x,y,z,nearest_distance_proxy_norm,local_edge_mean_norm,local_area_norm,local_aspect_ratio,local_quality,local_normal_variation,point_index
bunny,original,14,3,0.3,0.6,-0.14193242436763828,0.16616433104813053,0.1673717565298192,0.5397451242196939,0.004513341128645487,7.2318888329043e-06,1.9510447533064301,0.7677102020111176,0.0033964562204411575,62
bunny,original,15,3,0.3,0.6,0.16585975071991635,-0.0024331447452143884,-0.07000378205297864,0.5721701140129983,0.006214419770313514,1.5763654734005454e-05,1.4047715577593338,0.922829427389477,0.0032145048637764275,63
bunny,original,16,3,0.3,0.6,-0.05691325163055272,0.08618142634344425,-0.16709150979895535,0.5308738517021863,0.005445087319278706,9.112074468073813e-06,2.2226505292613288,0.6497563628407937,0.04752189939372653,64
bunny,original,17,3,0.3,0.6,0.11361732279425665,0.1688577470135236,-0.010942296298103421,0.3885132206371773,0.005752115453380764,1.317918868966276e-05,1.5229189707399013,0.8942588739725646,0.001313186759217248,65
bunny,original,18,3,0.3,0.6,0.1163411455268323,-0.0378473517682025,0.05276962620162248,0.44386919727186935,0.007251759391086687,2.244880357365889e-05,1.1848826449141183,0.9811578189559745,0.0016304058386852709,66
bunny,original,19,3,0.3,0.6,-0.20618433706106032,0.06139551074418273,0.06739498559127885,0.5169462908975928,0.005844815933676612,1.4659169721141778e-05,1.1336370072344846,0.9881352561046716,0.0025712526692226088,67
bunny,original,20,3,0.3,0.6,-0.1446154011426828,-0.032241336373331486,-0.05596348884725422,0.45148817586510626,0.006478380035748159,1.5788665784418172e-05,1.7163227442366378,0.8257851067465032,0.3265283664390986,68
bunny,original,21,3,0.3,0.6,0.04533696276675267,0.0018268575734620984,0.1783676690074613,0.5632918192220991,0.005598313248089929,1.1905653898200171e-05,1.6716942900338274,0.8424977281942649,0.02973005458174338,69
bunny,original,22,3,0.3,0.6,-0.0018525204137333773,-0.055535829346189725,-0.009244314744388887,0.3604707805588471,0.006447262181846966,1.531560050883074e-05,1.816086996867246,0.8032329755129605,0.020026840214185253,70
bunny,original,23,3,0.3,0.6,0.013746733101302172,0.139786589583294,-0.15355720104630138,0.4906469883230316,0.005467268327115716,1.046101783949705e-05,1.9546388451361092,0.7572739484644909,0.09236807075649604,71
bunny,original,0,4,0.6,1.0,-0.11997215011444536,-0.08062633052770873,0.130840801226403,0.6255723574720307,0.005169367022023663,1.0115516565606703e-05,1.6049680667068116,0.8427670501797373,0.0382698197297198,72
bunny,original,1,4,0.6,1.0,0.04325585157836351,-0.13783695833436613,0.0760126593664334,0.7147609639398163,0.005594085194917337,1.2446365708831615e-05,1.5113271910727628,0.8941251257146124,0.034112443946133476,73
bunny,original,2,4,0.6,1.0,0.07358447936416387,-0.1778049083385907,-0.025590546886162385,0.8790832087509877,0.007761140362502917,2.0905690239464215e-05,2.0265925925155943,0.7457796019138863,0.008528534159739679,74
bunny,original,3,4,0.6,1.0,0.10292839186522926,-0.12314061955998606,-0.18409838940142842,0.9790646299048135,0.005263876368379489,6.840621974117129e-06,2.308833225863084,0.5149364168096635,0.032769261621910774,75
