mesh,boundary,seed,point_index,x,y,z,exact,epsilon,epsilon_half,value_epsilon,value_epsilon_half,bias_indicator,normalized_bias,abs_error_epsilon,abs_error_epsilon_half,std_error_epsilon,std_error_epsilon_half,sample_variance_epsilon,sample_variance_epsilon_half,mean_steps_epsilon,mean_steps_epsilon_half,samples_epsilon,samples_epsilon_half,diverged_epsilon,diverged_epsilon_half,is_valid
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,68,-0.144615397,-0.032241337,-0.0559634902,-0.232820213,9.99999975e-06,4.99999987e-06,-0.222460851,-0.248873144,0.0264122933,0.582377732,0.0103593618,0.0160529315,0.0258941855,0.0194573272,0.0429125689,0.0242296029,80.015625,91.78125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,69,0.0453369617,0.00182685757,0.178367674,0.225531489,9.99999975e-06,4.99999987e-06,0.20394972,0.219305202,0.0153554827,0.327342123,0.021581769,0.00622628629,0.021906171,0.0250024181,0.0307123419,0.0400077403,55.0625,48.078125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,70,-0.00185252039,-0.0555358306,-0.00924431439,-0.0666326657,9.99999975e-06,4.99999987e-06,-0.0948532,-0.0476471521,0.0472060479,0.780345738,0.0282205343,0.0189855136,0.0288693961,0.0316233635,0.0533402897,0.0640023723,96.265625,109.046875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,71,0.0137467328,0.139786586,-0.153557196,-2.38716602e-05,9.99999975e-06,4.99999987e-06,-0.0220000166,-0.0554675683,0.0334675536,0.73254776,0.021976145,0.0554436967,0.0200815331,0.0256039798,0.0258091483,0.0419560783,62,85.375,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,72,-0.119972147,-0.0806263313,0.130840808,-0.0697576702,9.99999975e-06,4.99999987e-06,-0.0654069483,-0.0455360487,0.0198708996,0.430103362,0.00435072184,0.0242216215,0.0269105807,0.0192887094,0.0463474765,0.0238114782,51.015625,42.921875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,73,0.0432558507,-0.137836963,0.0760126561,-0.0185684562,9.99999975e-06,4.99999987e-06,-0.00526944129,-0.0130314119,0.00776197063,0.15880987,0.0132990144,0.00553704426,0.0238542631,0.0250206087,0.0364176556,0.040065974,42.984375,49.921875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,74,0.0735844821,-0.177804902,-0.0255905464,-0.129810959,9.99999975e-06,4.99999987e-06,-0.128132075,-0.140653595,0.0125215203,0.312956512,0.00167888403,0.0108426362,0.0194928218,0.0205165949,0.024318086,0.0269395616,35.03125,48.8125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,75,0.102928393,-0.123140618,-0.184098393,-0.204310626,9.99999975e-06,4.99999987e-06,-0.18406491,-0.175691232,0.00837367773,0.247114792,0.020245716,0.0286193937,0.017934585,0.0159501974,0.0205855574,0.0162821617,36.578125,80.515625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,76,-0.163033605,-0.179667503,0.0433699265,-0.299331188,9.99999975e-06,4.99999987e-06,-0.306223601,-0.299080849,0.00714275241,0.20691219,0.0068924129,0.000250339508,0.0175163895,0.0170033071,0.0196367297,0.0185031984,47.078125,32.640625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,77,0.156086445,0.0447133482,0.190074876,0.390874684,9.99999975e-06,4.99999987e-06,0.410960257,0.397810578,0.0131496787,0.637990594,0.0200855732,0.00693589449,0.00807451736,0.0125355674,0.00417266134,0.0100569883,53.234375,30.125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,78,0.0989037976,0.158642575,0.188908637,0.446455002,9.99999975e-06,4.99999987e-06,0.453966975,0.463606119,0.00963914394,0.488987386,0.00751197338,0.0171511173,0.0110545633,0.00865689572,0.00782101601,0.00479627866,30.78125,44.109375,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,79,-0.217790172,0.0565860011,-0.0957516059,-0.256955773,9.99999975e-06,4.99999987e-06,-0.261157513,-0.251155972,0.0100015402,1.37723017,0.00420174003,0.00579980016,0.00183222815,0.00542884087,0.00021485184,0.0018862281,24.734375,22.546875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,80,-0.190041423,0.0514047518,-0.142416418,-0.281053096,9.99999975e-06,4.99999987e-06,-0.272598624,-0.26809895,0.00449967384,0.172102883,0.00845447183,0.0129541457,0.0116857309,0.0144585241,0.00873960368,0.0133791314,32.8125,40.703125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,81,-0.107697763,-0.0890712813,-0.0972104669,-0.293979526,9.99999975e-06,4.99999987e-06,-0.339899153,-0.252878577,0.087020576,1.75634062,0.045919627,0.041100949,0.0186736453,0.0308718793,0.0223171245,0.0609966666,33.1875,74.515625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,82,-0.00192253746,-0.111645013,0.148932368,0.0353648141,9.99999975e-06,4.99999987e-06,0.02449001,0.054325413,0.029835403,0.650090396,0.0108748041,0.0189605989,0.0230387524,0.0228544846,0.0339701846,0.0334289595,29.703125,40.09375,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,83,0.114343867,-0.110325351,-0.182348445,-0.17832993,9.99999975e-06,4.99999987e-06,-0.195297435,-0.169256866,0.0260405689,0.79715395,0.0169675052,0.00907306373,0.0166455228,0.0160204042,0.0177326985,0.0164258126,25.96875,35.890625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,84,-0.143275395,-0.110807627,0.0813221112,-0.172760934,9.99999975e-06,4.99999987e-06,-0.155988321,-0.152579948,0.0034083724,0.0722219497,0.0167726129,0.0201809853,0.0248221382,0.0223698877,0.0394328684,0.0320263579,46.796875,41.515625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,85,0.0520934463,-0.082233578,-0.141256347,-0.171396479,9.99999975e-06,4.99999987e-06,-0.188236684,-0.2242544,0.0360177159,0.733232379,0.0168402046,0.0528579205,0.0260008071,0.0231200252,0.0432666838,0.0342102759,56.421875,57.34375,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,86,0.20804511,-0.0256113689,-0.0533502214,0.129083514,9.99999975e-06,4.99999987e-06,0.133607209,0.126204595,0.00740261376,0.387947887,0.00452369452,0.00287891924,0.00715490058,0.0119255623,0.00327632646,0.00910201855,31.8125,33,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,87,-0.0401570834,-0.145803303,-0.114336617,-0.300296992,9.99999975e-06,4.99999987e-06,-0.284063816,-0.305885911,0.0218220949,0.492957264,0.016233176,0.00558891892,0.0223824028,0.0218843222,0.0320622064,0.0306511093,48.828125,40.96875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,88,0.123203456,-0.13034226,0.0229024198,0.0157636162,9.99999975e-06,4.99999987e-06,-0.00404517865,-0.00563764852,0.00159246987,0.0333503857,0.0198087953,0.0214012638,0.0240149051,0.023733763,0.0369098037,0.0360506587,53.1875,49.6875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,89,-0.0956024602,-0.0959946662,-0.182432234,-0.374029368,9.99999975e-06,4.99999987e-06,-0.369614571,-0.383284122,0.0136695504,0.341690481,0.00441479683,0.00925475359,0.0193297621,0.0206748899,0.0239129383,0.0273568686,33.40625,35.09375,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,90,-0.00800199155,0.168670878,0.19678022,0.357449114,9.99999975e-06,4.99999987e-06,0.356432229,0.352335751,0.00409647822,0.174078301,0.00101688504,0.00511336327,0.011615498,0.0119158914,0.00863486715,0.00908726174,26.953125,38.328125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,91,-0.207951158,0.183810994,-0.166529208,-0.190669373,9.99999975e-06,4.99999987e-06,-0.197446629,-0.186186507,0.0112601221,0.803367138,0.00677725673,0.00448286533,0.00719472347,0.0068204361,0.00331289903,0.00297717447,38.1875,29.65625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,92,0.109053016,0.174469128,-0.146110892,0.137411237,9.99999975e-06,4.99999987e-06,0.160348922,0.12331035,0.0370385721,1.1721952,0.0229376853,0.0141008869,0.0155987414,0.0159978736,0.0155725265,0.0163796432,47.25,43.3125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,93,-0.00825980026,0.124331459,0.204406217,0.320477873,9.99999975e-06,4.99999987e-06,0.321791381,0.336390734,0.0145993531,0.750439763,0.00131350756,0.0159128606,0.0121447816,0.00730861491,0.00943972543,0.00341861462,43,26.375,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,94,0.0911224335,-0.0995558426,0.0748498514,0.0664164424,9.99999975e-06,4.99999987e-06,0.0632549226,0.0991203114,0.0358653888,0.665060043,0.00316151977,0.032703869,0.0266941376,0.0272329114,0.0456049256,0.0474644154,40.703125,57.421875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,95,-0.068526499,-0.19553487,0.115663975,-0.148397386,9.99999975e-06,4.99999987e-06,-0.160094351,-0.138823867,0.0212704837,0.796938658,0.0116969645,0.00957351923,0.0153839029,0.0113053359,0.0151465256,0.00817987975,29.390625,31.828125,64,64,0,0,1
