mesh,boundary,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,diverged,epsilon,walks_per_point,star_queries,fast_only_star_queries,exact_star_queries,is_valid
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,51,0.337375641,-0.961575806,-0.931716263,-1.60013223,-1.55591643,0.0442157984,0.0192205291,0.094573766,256,37,0,9.99999975e-06,256,9472,8914,558,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,52,-1.03532362,0.659452498,0.973249316,0.597695768,0.597378194,0.000317573547,0.0159143209,0.0648359954,256,34.859375,0,9.99999975e-06,256,8924,8372,552,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,53,0.966365159,-0.996419668,-0.455053031,-0.517103612,-0.485107541,0.0319960713,0.0238048509,0.145067766,256,39.4492188,0,9.99999975e-06,256,10099,9470,629,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,54,-0.916714728,0.13054049,-1.0994246,-1.88610554,-1.8855989,0.000506639481,0.0012408538,0.000394167844,256,17.171875,0,9.99999975e-06,256,4396,3868,528,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,55,-1.03485787,0.867131352,0.683810294,0.520557106,0.516083777,0.00447332859,0.0187340919,0.0898473486,256,32.6679688,0,9.99999975e-06,256,8363,7837,526,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,56,-1.07799649,0.489437819,-1.06429529,-1.65963876,-1.65285397,0.00678479671,0.00458898209,0.00539104128,256,26.1914062,0,9.99999975e-06,256,6705,6195,510,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,57,0.0615398549,-0.816983461,-0.915260077,-1.70467925,-1.67070365,0.0339756012,0.0336143523,0.289260715,256,62.3085938,0,9.99999975e-06,256,15951,14959,992,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,58,-1.0165472,1.03901696,-0.806799769,-0.793349743,-0.78433001,0.00901973248,0.0126150502,0.0407397114,256,30.0664062,0,9.99999975e-06,256,7697,7178,519,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,59,-0.801100194,-0.335347503,-0.874689281,-2.07194448,-2.01113701,0.0608074665,0.0285339374,0.208431497,256,53.84375,1,9.99999975e-06,256,13784,12900,884,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,60,-1.00781,-1.04426551,-0.968482792,-3.03197598,-3.02055812,0.0114178658,0.00853247847,0.018637618,256,28.59375,0,9.99999975e-06,256,7320,6812,508,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,61,-0.912184596,-0.00910327863,-0.993070602,-1.92311954,-1.9143585,0.00876104832,0.0230431836,0.135933012,256,44.8398438,1,9.99999975e-06,256,11479,10758,721,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,62,-0.068530038,-0.673536301,-0.972919762,-1.74564517,-1.71498609,0.0306590796,0.0369003154,0.348578155,256,61.8398438,0,9.99999975e-06,256,15831,14835,996,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,63,0.892485678,-0.334756792,-0.970480621,-0.388703287,-0.412751734,0.0240484476,0.0303648002,0.236037388,256,37.0820312,0,9.99999975e-06,256,9493,8846,647,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,64,-0.445440233,-0.512588978,-1.09207916,-2.05508041,-2.05010843,0.00497198105,0.0042864522,0.0047036605,256,26.7929688,0,9.99999975e-06,256,6859,6342,517,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,65,1.04090881,-0.959117949,-0.900246501,-0.849943697,-0.818455637,0.031488061,0.0152410781,0.0594663545,256,32.3632812,0,9.99999975e-06,256,8285,7752,533,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,66,0.508168161,0.932179272,1.03443682,2.50029612,2.47478437,0.0255117416,0.0119919181,0.0368143581,256,32.59375,0,9.99999975e-06,256,8344,7804,540,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,67,-1.07519734,0.295643717,0.292442024,-0.496422768,-0.487111628,0.00931113958,0.0149663584,0.0573419221,256,37.6289062,0,9.99999975e-06,256,9633,8926,707,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,68,1.07365608,0.520933807,0.297249645,1.90793395,1.89183962,0.016094327,0.0118246488,0.0357945152,256,28.8320312,0,9.99999975e-06,256,7381,6873,508,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,69,-0.920687139,1.02949703,0.914340615,1.03374159,1.02315044,0.0105911493,0.0156396385,0.0626171604,256,34.1914062,0,9.99999975e-06,256,8753,8207,546,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,70,0.95033592,-0.724874735,-1.05828142,-0.821974635,-0.832820237,0.0108456016,0.0141016226,0.0509070717,256,29.8125,0,9.99999975e-06,256,7632,7124,508,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,71,0.849369705,-0.815406382,-0.964401364,-0.920426607,-0.930438042,0.0100114346,0.0255624782,0.167280719,256,58.0429688,1,9.99999975e-06,256,14859,13873,986,1
