point_id,x,y,z,exact,value,abs_error,std_error,sample_variance,predicted_samples,samples_used,mean_steps,is_valid
136,0.202286363,0.956464887,-0.263798833,0.894952416,0.886118114,0.00883430243,0.0102115674,0.00667367084,64,64,23.40625,1
137,-0.412844241,1.04053581,-0.674729109,-0.0470375419,-0.0436168239,0.00342071801,0.0093588056,0.0896893442,1024,1024,24.8046875,1
138,-0.703665733,0.855049253,1.0537852,1.20516872,1.21678388,0.0116151571,0.00746625848,0.0570828989,1024,1024,23.5341797,1
139,-0.0935250521,0.126326561,0.29871273,0.331514239,0,0,0,0,0,0,0,0
140,-0.684682548,1.07806718,0.190166473,0.583551109,0.58056283,0.00298827887,0.00689483667,0.048679702,1024,1024,22.2890625,1
141,0.581405878,-0.106410742,0.53165257,1.00664771,0.985810399,0.020837307,0.0184581093,0.348878682,1024,1024,28.3740234,1
142,-0.253277779,0.0945330858,0.698816299,0.540071607,0,0,0,0,0,0,0,0
143,0.425824761,0.283592582,0.254950047,0.96436739,0.985894024,0.0215266347,0.0197954979,0.401266426,1024,1024,28.0117188,1
144,0.14994216,-0.0563820601,0.852491617,0.946051717,0,0,0,0,0,0,0,0
145,-0.924872756,-0.994079471,0.996760488,-0.922191739,-0.926198602,0.00400686264,0.00788552407,0.0636738464,1024,1024,23.8300781,1
146,-0.538899958,0.240090251,0.391370893,0.0925611854,0.0849247724,0.00763641298,0.0221981425,0.504583716,1024,1024,29.0185547,1
147,-0.867005348,-0.809042811,-0.884222507,-2.56027079,-2.558779,0.00149178505,0.0149306851,0.228275567,1024,1024,25.0771484,1
148,-1.03523064,-0.191931129,-0.551694453,-1.77885628,-1.78789759,0.00904130936,0.0177854449,0.139181703,440,440,24.0068188,1
149,-0.138469994,0.255470872,0.148849249,0.265850127,0,0,0,0,0,0,0,0
150,0.406942844,0.795573592,0.101850986,1.30436742,1.32244253,0.0180751085,0.0183414128,0.34448117,1024,1024,28.3554688,1
151,0.0282400846,-0.680444539,0.757868767,0.105664313,0.123192564,0.0175282508,0.00870368816,0.0775722936,1024,1024,25.5244141,1
152,-0.572931409,0.241206169,-0.0852040052,-0.416929245,-0.422651768,0.00572252274,0.0211312585,0.45724684,1024,1024,28.515625,1
153,-0.212039113,0.654864073,-1.01698792,-0.57416296,-0.569346547,0.00481641293,0.011359388,0.13213256,1024,1024,25.8066406,1
154,-0.466297507,-0.264239728,-0.128835678,-0.859372914,-0.830569029,0.028803885,0.0186569858,0.356437147,1024,1024,28.9863281,1
155,-0.0469295979,-0.209143281,0.926802993,0.670730114,0,0,0,0,0,0,0,0
156,1.07438862,0.531263709,-0.468352199,1.13730013,1.13515627,0.00214385986,0.00920696277,0.0449271239,530,530,21.8396225,1
157,0.277538419,0.302762032,0.306191921,0.886492372,0.875112176,0.0113801956,0.0149418004,0.228615582,1024,1024,27.0546875,1
158,-0.451078892,-0.0863515139,-0.962455451,-1.4998858,-1.49220252,0.00768327713,0.0162819568,0.271464556,1024,1024,26.3662109,1
159,-0.186120212,-0.420909941,0.920309663,0.31327951,0,0,0,0,0,0,0,0
160,0.409651518,0.36150229,0.516262531,1.28741634,1.29647982,0.00906348228,0.0214235429,0.469983399,1024,1024,28.4785156,1
161,0.238149524,-0.716836333,-0.879480541,-1.35816741,-1.36523521,0.00706779957,0.0197018385,0.397478312,1024,1024,27.2910156,1
162,-0.517052352,-0.0504537821,-1.09843683,-1.66594291,-1.66275716,0.00318574905,0.00363747333,0.00141573977,107,107,13.3551397,1
163,0.160409331,-0.482244134,-0.0595885515,-0.381423354,0,0,0,0,0,0,0,0
164,0.857384801,0.719518661,0.340977669,1.91788113,1.91755521,0.000325918198,0.0181162488,0.336075217,1024,1024,26.8925781,1
165,-0.374303222,0.0664058924,0.0403335094,-0.26756382,-0.267236829,0.000326991081,0.0121994372,0.152398095,1024,1024,25.5,1
166,-0.793588519,-0.527468801,-0.466840088,-1.78789735,-1.82967746,0.0417801142,0.0212794095,0.463680774,1024,1024,27.5751953,1
167,0.795649171,-0.39537257,-0.133415818,0.266860783,0.224930257,0.0419305265,0.0207776874,0.442073375,1024,1024,28.4326172,1
168,0.859352469,-0.760213435,-0.346624017,-0.247484982,-0.250677645,0.00319266319,0.016775215,0.288161665,1024,1024,27.3222656,1
169,-0.256517053,0.345055223,1.06187856,1.15041673,1.14304399,0.00737273693,0.00769414147,0.0606206059,1024,1024,24.5820312,1
170,-0.828827024,0.387606144,1.08044183,0.639220953,0.633554041,0.0056669116,0.00630651042,0.0407266021,1024,1024,21.0322266,1
171,0.841316104,-0.687250197,-0.871774971,-0.717709064,-0.732257128,0.0145480633,0.0151852379,0.236125633,1024,1024,26.7460938,1
172,0.82989037,-0.0129671097,0.832354903,1.64927816,1.6697551,0.0204769373,0.0163405538,0.273422062,1024,1024,26.1074219,1
173,1.05346715,-0.524001598,-0.968495965,-0.439030409,-0.444130033,0.0050996244,0.00737269642,0.0556612127,1024,1024,22.6972656,1
174,0.59908998,0.762420774,-0.0332068205,1.32830393,1.32969725,0.00139331818,0.0194988512,0.389330149,1024,1024,29.0380859,1
175,0.172652483,-0.360805869,-0.332954705,-0.521108091,-0.498071283,0.0230368078,0.0208030045,0.443151385,1024,1024,29.4111328,1
176,-0.903633296,0.339441419,-0.824552596,-1.38874447,-1.39257419,0.00382971764,0.0149362637,0.228446186,1024,1024,25.9609375,1
177,0.785991788,0.88860631,0.623667479,2.29826546,2.31249404,0.0142285824,0.0152173461,0.237125263,1024,1024,25.78125,1
178,-0.258285463,0.598283172,1.07970321,1.41970086,1.41732001,0.00238084793,0.00707265921,0.0512230471,1024,1024,22.8994141,1
179,0.276640534,0.576546073,-0.343615472,0.509571135,0.511851609,0.00228047371,0.00308110518,0.000303782697,32,32,12.03125,1
180,0.701960087,-0.586728692,1.08400142,1.19923282,1.20342898,0.00419616699,0.00555740669,0.0114891343,372,372,20.1075268,1
181,1.09829462,-0.149356246,-0.789534926,0.159403443,0.155246109,0.00415733457,0.00248872861,0.00634242035,1024,1024,12.8671875,1
182,-0.455533385,0.212011337,-0.0416917801,-0.285213828,-0.286522776,0.0013089478,0.0190697964,0.372384936,1024,1024,28.7695312,1
183,1.01568925,0.905159354,0.602344275,2.52319288,2.51763535,0.00555753708,0.0101775071,0.106067598,1024,1024,25.0478516,1
184,0.611255288,0.559468746,0.880488276,2.05121231,2.03742027,0.013792038,0.018533159,0.351721436,1024,1024,26.7851562,1
185,-0.00916242599,-0.00623595715,0.331634998,0.316236615,0,0,0,0,0,0,0,0
186,1.04663956,-0.46275121,0.391730547,0.975618899,0.992537975,0.0169190764,0.010662633,0.116420351,1024,1024,25.2001953,1
187,0.0576320887,1.01345241,0.286005497,1.35709,1.34751463,0.00957536697,0.0131931957,0.17823787,1024,1024,25.3544922,1
188,-0.938260615,-0.53111881,0.225132585,-1.24424684,-1.22687173,0.0173751116,0.0166593082,0.284193337,1024,1024,26.8056641,1
189,-0.15261811,0.0747983456,0.384188771,0.306369007,0,0,0,0,0,0,0,0
190,-0.75805068,0.891789436,0.649923682,0.783662438,0.784080267,0.00041782856,0.0162543282,0.270544082,1024,1024,27.5458984,1
191,-0.766670108,0.407651782,1.07291114,0.713892817,0.715457618,0.00156480074,0.00797172543,0.031583555,497,497,21.8853111,1
192,-0.0707355738,-0.0211644173,0.805404663,0.713504672,0,0,0,0,0,0,0,0
193,-0.0519310236,1.07699835,-0.642188787,0.382878542,0.397748977,0.014870435,0.00915517658,0.0170987193,204,204,21.8186283,1
194,-1.0409019,-0.595285177,0.666133761,-0.970053315,-0.973311305,0.00325798988,0.00986658596,0.0996859074,1024,1024,23.4267578,1
195,-0.873870671,0.203995109,0.35168314,-0.318192422,-0.336673558,0.0184811354,0.019292295,0.381125271,1024,1024,27.8662109,1
196,-0.07183671,-0.637949944,-0.596530914,-1.30631757,-1.33635104,0.0300334692,0.0230400003,0.543581784,1024,1024,28.3300781,1
197,-0.323688388,0.76883018,-0.697004735,-0.251862943,-0.244924888,0.00693805516,0.016681727,0.28495875,1024,1024,27.4648438,1
198,-0.84723258,-0.277817726,-0.194956124,-1.32000637,-1.31263709,0.00736927986,0.0206179991,0.435304344,1024,1024,27.9072266,1
199,0.980033994,0.476050138,0.169270515,1.62535465,1.64668941,0.0213347673,0.0147666801,0.223288164,1024,1024,25.5136719,1
200,-1.08791459,-0.573298335,-0.0997647047,-1.76097763,-1.77871418,0.0177365541,0.0112461541,0.0123946471,98,98,18.2040825,1
201,-0.95268023,0.538041711,-0.990986228,-1.40562475,-1.42109191,0.0154671669,0.0099354405,0.101082079,1024,1024,25.0068359,1
202,0.600673795,0.750122905,1.07259619,2.42339277,2.41897702,0.0044157505,0.00792235043,0.0421143994,671,671,22.0357666,1
203,-0.572877884,0.407290459,0.21837163,0.0527842045,0.0832090303,0.0304248258,0.0234184675,0.561586797,1024,1024,29.1572266,1
204,1.02330673,1.07699239,-0.0464326143,2.05386639,2.04883075,0.00503563881,0.00804980844,0.0284469407,439,439,21.8633251,1
205,-0.0978270769,-0.901536822,0.800554037,-0.198809862,-0.187469572,0.0113402903,0.012560457,0.161551431,1024,1024,27.2363281,1
206,0.249055982,1.04961026,-0.806832433,0.491833806,0.482721657,0.00911214948,0.00887799542,0.0807104632,1024,1024,24.2919922,1
207,-0.972042501,-0.390003204,-0.266595483,-1.62864125,-1.61314833,0.0154929161,0.0167361964,0.286822647,1024,1024,27.2246094,1
208,-0.542057455,0.312617898,-0.399037778,-0.628477335,-0.640439749,0.0119624138,0.0208593477,0.445555121,1024,1024,29.6201172,1
