experiment,method,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,star_queries,fast_only_star_queries,exact_star_queries
lazy_refinement,lazy_threshold_x1,6699,2,-0.0136832297,0.024396494,0.0062572211,0.0340000726,0.0169704854,0.0170295872,0.0100943986,0.00652140006,64,18.59375,1190,1072,118
lazy_refinement,lazy_threshold_x1,6699,3,-0.00915378332,0.177707285,-0.0659151226,0.117237397,0.102638379,0.0145990178,0.0142711597,0.013034624,64,22.375,1432,1312,120
lazy_refinement,lazy_threshold_x1,6699,4,-0.0758416206,-0.139977366,-0.179290116,-0.392110229,-0.395109117,0.00299888849,0.0121405227,0.00943310745,64,22.171875,1419,1316,103
lazy_refinement,lazy_threshold_x1,6699,5,-0.155595258,0.10435468,-0.0328005254,-0.0583900288,-0.0840411037,0.0256510749,0.017636219,0.0199063178,64,24.875,1592,1466,126
lazy_refinement,lazy_threshold_x1,6699,6,0.0820604265,0.0400923193,-0.0985738635,0.0255199671,0.0235788822,0.00194108486,0.0209232382,0.0280180424,64,25.6875,1644,1523,121
lazy_refinement,lazy_threshold_x1,6699,7,-0.072949782,0.196788698,-0.0982475877,0.0326738656,0.0255913287,0.00708253682,0.0117682973,0.00886354037,64,25.265625,1617,1484,133
lazy_refinement,lazy_threshold_x1,6699,8,0.0837117732,0.158510149,-0.204951018,0.0289372019,0.0372709036,0.00833370164,0.00638660835,0.00261048088,64,19,1216,1106,110
lazy_refinement,lazy_threshold_x1,6699,9,0.147511303,0.0130400658,0.0947698057,0.242668882,0.255321175,0.0126522928,0.0217268243,0.0302115101,64,25.890625,1657,1524,133
lazy_refinement,lazy_threshold_x1,6699,10,-0.214067459,0.0454089642,-0.0543048233,-0.220835268,-0.222963318,0.00212804973,0.0057522282,0.00211764011,64,18.296875,1171,1042,129
lazy_refinement,lazy_threshold_x1,6699,11,0.0835261643,0.153738201,0.126541734,0.347267777,0.363806099,0.016538322,0.0189408176,0.0229602922,64,23.859375,1527,1390,137
lazy_refinement,lazy_threshold_x1,6699,12,-0.100265838,0.0988387167,0.183558345,0.166663468,0.182131231,0.0154677629,0.0183958821,0.0216581412,64,19.453125,1245,1137,108
lazy_refinement,lazy_threshold_x1,6699,13,0.0239555836,-0.00375601649,0.18023324,0.193081439,0.200432807,0.00735136867,0.0204258598,0.026701808,64,22,1408,1279,129
lazy_refinement,lazy_threshold_x1,6699,14,0.158897698,-0.0294616818,0.0175708532,0.137268931,0.147006869,0.00973793864,0.0211395454,0.0286003444,64,23.140625,1481,1364,117
lazy_refinement,lazy_threshold_x1,6699,15,0.0162351578,-0.00504507124,0.195354581,0.220446512,0.206544667,0.0139018446,0.0120832836,0.00934436731,64,23.4375,1500,1352,148
lazy_refinement,lazy_threshold_x1,6699,16,-0.06924887,0.163229644,-0.0950872973,0.0187645443,-0.00110652298,0.0198710673,0.0141844526,0.0128767155,64,26.671875,1707,1562,145
lazy_refinement,lazy_threshold_x1,6699,17,-0.103432395,0.0586233139,-0.16266565,-0.220422402,-0.207474738,0.0129476637,0.0196071509,0.0246041846,64,26.203125,1677,1526,151
lazy_refinement,lazy_threshold_x1,6699,18,0.099680841,-0.0287723541,-0.114537418,-0.045348525,-0.043628931,0.001719594,0.0253242701,0.0410443917,64,26.78125,1714,1564,150
lazy_refinement,lazy_threshold_x1,6699,19,0.0617900193,0.146282107,0.130698472,0.343322933,0.338770598,0.00455233455,0.0196760707,0.0247774553,64,24.90625,1594,1476,118
lazy_refinement,lazy_threshold_x4,6699,0,-0.180082127,0.0442192256,0.171837896,0.0440158173,0.0359749943,0.00804082304,0.0129407393,0.0107176146,64,21.9375,1404,1047,357
