mesh,dataset,feature,target,pearson_r,n
spot,dirichlet_pointcloud,local_area_norm,sample_variance,0.29097323220684984,469
spot,dirichlet_pointcloud,local_area_norm,samples_used,nan,469
spot,dirichlet_pointcloud,local_area_norm,mean_steps,0.1873022057818578,469
spot,dirichlet_pointcloud,local_aspect_ratio,abs_error,0.032959443885503655,469
spot,dirichlet_pointcloud,local_aspect_ratio,std_error,0.07525714139533678,469
spot,dirichlet_pointcloud,local_aspect_ratio,sample_variance,0.09014676853038754,469
spot,dirichlet_pointcloud,local_aspect_ratio,samples_used,nan,469
spot,dirichlet_pointcloud,local_aspect_ratio,mean_steps,0.04717911974580223,469
spot,dirichlet_pointcloud,local_quality,abs_error,-0.026097250531140603,469
spot,dirichlet_pointcloud,local_quality,std_error,-0.058421584909760606,469
spot,dirichlet_pointcloud,local_quality,sample_variance,-0.06787447231496228,469
spot,dirichlet_pointcloud,local_quality,samples_used,nan,469
spot,dirichlet_pointcloud,local_quality,mean_steps,-0.04967673029885923,469
spot,dirichlet_pointcloud,local_normal_variation,abs_error,0.0010024588510162535,469
spot,dirichlet_pointcloud,local_normal_variation,std_error,-0.09979657106621179,469
spot,dirichlet_pointcloud,local_normal_variation,sample_variance,-0.1139598133277784,469
spot,dirichlet_pointcloud,local_normal_variation,samples_used,nan,469
spot,dirichlet_pointcloud,local_normal_variation,mean_steps,-0.0877351404968614,469
spot,neumann_pointcloud,nearest_distance_proxy_norm,abs_error,-0.5604081061522754,94
spot,neumann_pointcloud,nearest_distance_proxy_norm,std_error,-0.6628352523781912,94
spot,neumann_pointcloud,nearest_distance_proxy_norm,sample_variance,-0.6240500657915066,94
spot,neumann_pointcloud,nearest_distance_proxy_norm,samples_used,nan,94
spot,neumann_pointcloud,nearest_distance_proxy_norm,mean_steps,-0.7667020641504705,94
spot,neumann_pointcloud,local_edge_mean_norm,abs_error,0.09670798223325872,94
spot,neumann_pointcloud,local_edge_mean_norm,std_error,0.2571297526198722,94
spot,neumann_pointcloud,local_edge_mean_norm,sample_variance,0.2328149192046211,94
spot,neumann_pointcloud,local_edge_mean_norm,samples_used,nan,94
spot,neumann_pointcloud,local_edge_mean_norm,mean_steps,0.09784216054925386,94
spot,neumann_pointcloud,local_area_norm,abs_error,0.08056445429283891,94
spot,neumann_pointcloud,local_area_norm,std_error,0.2477890055118071,94
spot,neumann_pointcloud,local_area_norm,sample_variance,0.22528986251516134,94
spot,neumann_pointcloud,local_area_norm,samples_used,nan,94
spot,neumann_pointcloud,local_area_norm,mean_steps,0.07244637120009229,94
spot,neumann_pointcloud,local_aspect_ratio,abs_error,0.0026639580722894653,94
spot,neumann_pointcloud,local_aspect_ratio,std_error,0.07122742182777148,94
spot,neumann_pointcloud,local_aspect_ratio,sample_variance,0.07724399097846502,94
spot,neumann_pointcloud,local_aspect_ratio,samples_used,nan,94
spot,neumann_pointcloud,local_aspect_ratio,mean_steps,0.055221800557611146,94
spot,neumann_pointcloud,local_quality,abs_error,0.026921520704261407,94
spot,neumann_pointcloud,local_quality,std_error,0.030961100567395285,94
spot,neumann_pointcloud,local_quality,sample_variance,0.017001834228939895,94
spot,neumann_pointcloud,local_quality,samples_used,nan,94
spot,neumann_pointcloud,local_quality,mean_steps,-0.0034941550582236413,94
spot,neumann_pointcloud,local_normal_variation,abs_error,-0.12076673423937573,94
spot,neumann_pointcloud,local_normal_variation,std_error,-0.1999196131667593,94
spot,neumann_pointcloud,local_normal_variation,sample_variance,-0.19101539814855362,94
spot,neumann_pointcloud,local_normal_variation,samples_used,nan,94
spot,neumann_pointcloud,local_normal_variation,mean_steps,-0.1901267820094685,94
spot,bias_eps_1e-3,nearest_distance_proxy_norm,bias_indicator,-0.46103274486793633,3876
spot,bias_eps_1e-3,nearest_distance_proxy_norm,normalized_bias,-0.3703989952480628,3876
spot,bias_eps_1e-3,nearest_distance_proxy_norm,mean_steps_epsilon,-0.7403890109318316,3876
spot,bias_eps_1e-3,nearest_distance_proxy_norm,abs_error_epsilon,-0.6098746807936097,3876
spot,bias_eps_1e-3,local_edge_mean_norm,bias_indicator,0.10688597607076035,3876
spot,bias_eps_1e-3,local_edge_mean_norm,normalized_bias,0.0908436077795011,3876
spot,bias_eps_1e-3,local_edge_mean_norm,mean_steps_epsilon,0.12236200689422688,3876
spot,bias_eps_1e-3,local_edge_mean_norm,abs_error_epsilon,0.0783675766527568,3876
spot,bias_eps_1e-3,local_area_norm,bias_indicator,0.09881342935640393,3876
spot,bias_eps_1e-3,local_area_norm,normalized_bias,0.0846581500280452,3876
spot,bias_eps_1e-3,local_area_norm,mean_steps_epsilon,0.10694296166418557,3876
spot,bias_eps_1e-3,local_area_norm,abs_error_epsilon,0.06167985879910814,3876
spot,bias_eps_1e-3,local_aspect_ratio,bias_indicator,0.08670903175486329,3876
spot,bias_eps_1e-3,local_aspect_ratio,normalized_bias,0.06477798181335695,3876
spot,bias_eps_1e-3,local_aspect_ratio,mean_steps_epsilon,0.13091037055871702,3876
spot,bias_eps_1e-3,local_aspect_ratio,abs_error_epsilon,0.12706601244202267,3876
spot,bias_eps_1e-3,local_quality,bias_indicator,-0.05671062148205842,3876
